training_site,xBR,xDC,xDJ,xDL,xDS,xHA,xKZ,xML,xNG,xRM,xSB,xSC,xSE,xSL,xST,xTL,xTR,xUK,xUN,xWD,xWR
xSB,0.18257134546252407,0.4440244539904814,0.5299936044909634,0.5262699889682028,-0.04795357192008831,0.3053726298099273,-19980512.50133684,0.040612776264633776,0.6161458686717338,0.3220723632279443,0.8545276886575828,0.09731893132753977,0.40422547203367276,-1.2656416021778836,0.48869310870596294,-307048634.30317307,0.3647503306081209,0.4088943594972656,0.49430678930304617,-72761906.50571863,-0.3773383415420348
xSC,0.23080652681326752,0.6185090112535528,0.32169947879592387,0.6033910673055454,-12.269729305427228,0.553180482323909,0.7127162103803378,0.35055878435736054,0.670464434563065,0.41891281118285495,-2.323022199736536,0.7046521906433283,0.6711847398903678,-16.36542149534183,0.7199931655384412,0.194124548177118,0.5560631380715653,0.7106352373838174,0.5558685033183657,0.6586446955305261,-0.15482302858603325
xSE,0.4586630946053196,0.6798335210804478,0.501708192156459,0.7443432774547359,-11.203902260263511,0.6250691952086413,0.6043341680667114,0.39079258214718504,0.6103175948340522,0.5359130962224901,-1.1682409576348003,0.45703577814953833,0.7673085766904504,-17.363383671962485,0.7865714672302033,-0.10907543196907166,0.6258185573409829,0.7784357324031598,0.6879143414264581,0.6239398919118564,0.052151969042944835
xSL,-0.6914038759662118,-0.04912761179244707,-0.19946793456490597,-0.1329209334712691,0.17415176549614197,-0.22557204299227696,0.30993678111859424,-0.8822575841758387,0.07079996566263103,-1.0325851571785782,-0.2537572866938178,-0.7792635906867003,-0.2515184489891822,0.7749446592908935,-0.10341018629342003,0.3568339860303279,-0.0980294311514649,-0.3043243427160909,-0.4384547202699607,-0.08176351750732436,-1.4647519210383981
xST,0.6512669209889043,0.6789290930049042,0.2388678242709632,-0.5864927572389809,-42.11539485768643,0.7546684202245061,-0.4454146229072167,0.6967963277917472,-0.12776681759922148,0.6836935125115732,-14.805603229634162,0.34870964709073105,0.5841751800563637,-53.79662361930916,0.9093512902638554,0.2312853374356455,0.7644871920773927,0.8018816690742412,0.7391033926565511,0.20497826839702027,0.3003716942265361
xTL,-1.3142323030925338,-0.8361038702769519,-0.7075672883392439,-2.9536772422480073,-6.291394907205303,-1.498466454039911,-1.1301882581781784,-2.143511186501116,-0.8150964903257463,-1.5773102477608396,-4.388552470204139,-3.314053896245963,-1.994459700488195,-1.111956286967236,-1.2700034992635496,0.6722490224016048,-0.8475881207180411,-1.4372957897684189,-0.8291841176864692,-1.0424174622316262,-2.2146097760731607
xTR,0.6041248338605835,0.4450317266682321,0.07673052248279999,-3.7194055042446763,-121.63602667982896,0.711428165973964,-2.7839086951136456,0.6559953215402856,-1.666308286383194,0.6086767906967753,-66.68434770399436,-0.25130612535310726,0.15251766374583886,-165.77750047400784,0.8801299235543774,0.3335355247092716,0.7685681218971739,0.4707965509298623,0.7045496171002139,-0.5024646720004373,0.11949985096735327
xUK,0.5085067453430185,0.6283353897185113,0.47846008706843257,-0.17750115399456834,-35.52457810495213,0.683449221793006,-2.2901983217259692e+18,0.6010372499921359,0.09088654295564325,0.5098535273412572,-11.607083138306892,0.41767788068959233,0.6707480422320156,-41.34478338974933,0.8473872226697111,-571704978148.6863,0.697691249992909,0.8749467704653701,0.751158446488666,-3.7197917605717894e+17,0.15279883840745012
xUN,0.6473752207679309,0.6772371757013278,0.7312077873632026,-0.15610723921834468,-30.54268795377682,0.7613594552189269,-0.2203527591369936,0.6734279773257414,-0.13224708532368723,0.6991118256553226,-11.123994144188753,0.4365382502857489,0.5992427182506392,-44.08906603798541,0.9012558035499632,0.3870541075916375,0.7550266664640545,0.8069471254571057,0.8838762541907813,0.23099981985415607,0.3748106309875454
xWD,0.2903469457130332,0.6706109990185576,0.42826022411456655,0.5916990255955354,-5.810864792619132,0.43792528940206743,0.7979456156003595,0.441590075891388,0.8371528372602657,0.20425853025452867,-0.8458436151892315,0.2676430239948202,0.5155185540685516,-3.685624197567642,0.6503288799236748,0.4521463166518648,0.5126431694987245,0.5321077413798968,0.6320983866238326,0.7668992130523133,-0.25673244404008155
xWR,0.6516663405156722,0.5903526397105809,0.27612290520489313,-0.5216246247618046,-18.26910231493785,0.6175706269297974,-0.342280855266514,0.3974431819147626,-0.3932481748796255,0.400904063560098,-5.252948660747121,0.0019473500972073676,0.09988282202206378,-14.137469465441479,0.5887024324133425,-3.1215881450522716,0.6493737112761615,0.5848118515906198,0.4233822496540589,-0.3771294403550225,0.667562497513177
