training_site,xBR,xDC,xDJ,xDL,xDS,xHA,xKZ,xML,xNG,xRM,xSB,xSC,xSE,xSL,xST,xTL,xTR,xUK,xUN,xWD,xWR
xSC,0.7362617871027886,0.7199984999107965,0.3085358944242606,0.6861975363968871,0.5162450972682587,0.7268173827125097,0.8496318640784862,0.5339953013113145,0.7064108241116439,0.7436239126893662,0.7808419678884384,0.7104281217810476,0.6971850486902812,0.5919405969197755,0.8820082505958051,0.48809698308639876,0.7720641514132713,0.8356116903726157,0.7606568830741398,0.6670451892963908,0.36290392833269697
xSE,0.7353663408683577,0.7253258877429414,0.5984827485090536,0.8124732783708883,0.5083105808323708,0.7482222724314894,0.8049655017599774,0.6989891058576457,0.7008715657402281,0.6974657486528512,0.6954167153161122,0.60605999606352,0.7760299893555105,0.5890034663521297,0.870152946562495,0.5538735401596814,0.7446254767592705,0.8507745664267395,0.8332390230615735,0.6644909952311038,0.5750275478745591
xSL,0.5440183951614341,0.7506856667031756,0.6512967370315836,0.5928529451756207,0.37401591675128903,0.6572159313194395,0.76924441382025,0.4532555597252837,0.7729345789947073,0.5351860330826747,0.4659939876999818,0.6128806274704999,0.6038297140658877,0.7761293732475709,0.7915446644567089,0.2632709344578076,0.658117400984614,0.5591711625323567,0.5742130704898254,0.6174357629338468,0.4214697605148343
xST,0.756436171207081,0.7472323259605673,0.46836750699200635,0.7464369780187556,0.492864692250363,0.7651577830477627,0.8268437990139915,0.6497138204107931,0.7199858682333379,0.7396116548116051,0.6879234574048483,0.6829844915392222,0.7386240210799645,0.5834865571049475,0.9153308048166131,0.5985785077692748,0.7783189881201356,0.8457849141928445,0.7855888647253052,0.6925644924964727,0.45428632789844725
xTL,0.00143754970894082,0.0012334249358871086,1.5114201586429303e-05,0.010903748957126154,0.007709063426067101,0.003680695247264489,0.0034901501248008875,0.003436970970950972,2.1635420350917853e-05,4.50305904215543e-05,1.3591334719861683e-05,0.033879111471570085,0.013129619386294804,0.000557211293094054,0.000571746251007161,0.6815666437644768,0.0002950516363890246,0.003099551806201688,2.4601405825403833e-06,0.0009853667183106108,0.00045935125420844746
xTR,0.729015881931602,0.6336521826351477,0.21037329152591314,0.6952054641927072,0.5130222037913755,0.7094028254601598,0.7999152415636981,0.6713398365773535,0.620457781812959,0.7509368044820871,0.7099938966281609,0.6448532680815717,0.7073633755323716,0.42402934360309424,0.8831295850088982,0.545614920328032,0.7734072114725105,0.8294995545002495,0.7136750583903817,0.6359365628000617,0.271063055217677
xUK,0.7340704429244506,0.711933315922509,0.45827415467388805,0.7638079677605664,0.6017281027207753,0.7593482047687126,0.00027954417704997847,0.6769583411230286,0.6997575704282498,0.7655604237287464,0.7808648546638943,0.6658002337084409,0.7253842082402638,0.5678074708153851,0.8958941880442877,0.001077513014367226,0.7748585956403171,0.8646598682363738,0.8071807406511374,0.000496153551821765,0.4992746823660885
xUN,0.7568652645656533,0.700313658965476,0.7284501699929944,0.7981542440676938,0.5733744543401861,0.7776905745768002,0.774392804014853,0.7009361764565366,0.6492805196500983,0.7632132086760067,0.7779207399009123,0.6607365832607822,0.7363663958677656,0.4921280036248113,0.9057502795369545,0.5571760807244689,0.7738446356769069,0.8396861445460548,0.891224102461752,0.6773698725931112,0.6070099775693432
xWD,0.674734144996737,0.811802824545403,0.44980045142748903,0.6250264412449879,0.5438556787251385,0.704856881266386,0.7845681182879716,0.7509567123417679,0.8232401361020182,0.7494078799627576,0.6588140549507953,0.572347424022849,0.6387099986760092,0.6561971149660578,0.8660181987115764,0.5818877749090682,0.7431988242215206,0.7937482828035403,0.7679140978836526,0.7746594269829735,0.3836140448872569
xWR,0.7360173706753794,0.7858493270600214,0.6827148717684849,0.7823799012104629,0.5785693621427959,0.7884755719012636,0.759057732459082,0.7049485313307127,0.7278154566914956,0.7663518793675601,0.7984361384680045,0.67515644608707,0.7294870292194188,0.6800433163133772,0.8994196367159586,0.5876914819247825,0.7663764179204459,0.8363860651659442,0.8689707830992472,0.7114786156642762,0.6756566422689047
