training_site,target_site,r2_sklearn,r2_pearson,training_IGBP,training_koppen,target_IGBP,target_koppen
US-xDL,US-xML,0.12,0.65,MF,Temperate,DBF,Cold
US-xDL,US-xNG,0.69,0.71,MF,Temperate,GRA,Cold
US-xDL,US-xRM,0.11,0.57,MF,Temperate,ENF,Cold
US-xDL,US-xSB,0.18,0.66,MF,Temperate,ENF,Temperate
US-xDL,US-xSC,0.36,0.59,MF,Temperate,DBF,Cold
US-xDL,US-xSE,0.7,0.77,MF,Temperate,DBF,Temperate
US-xDL,US-xSL,-6.24,0.65,MF,Temperate,CRO,Arid
US-xDL,US-xST,0.64,0.8,MF,Temperate,DBF,Cold
US-xDL,US-xTL,0.47,0.5,MF,Temperate,WET,Cold
US-xDL,US-xTR,0.52,0.71,MF,Temperate,DBF,Cold
US-xDL,US-xUK,0.67,0.85,MF,Temperate,DBF,Cold
US-xDL,US-xUN,0.5,0.78,MF,Temperate,MF,Cold
US-xDL,US-xWD,0.58,0.6,MF,Temperate,GRA,Cold
US-xDL,US-xWR,-0.3,0.49,MF,Temperate,ENF,Cold
US-xDS,US-xBR,-0.14,0.66,CVM,Temperate,DBF,Cold
US-xDS,US-xDC,0.17,0.61,CVM,Temperate,GRA,Cold
US-xDS,US-xDJ,0.31,0.69,CVM,Temperate,ENF,Cold
US-xDS,US-xDL,-0.0,0.74,CVM,Temperate,MF,Temperate
US-xDS,US-xDS,0.79,0.79,CVM,Temperate,CVM,Temperate
US-xDS,US-xHA,-0.12,0.71,CVM,Temperate,DBF,Cold
US-xDS,US-xKZ,0.44,0.74,CVM,Temperate,GRA,Cold
US-xDS,US-xML,-0.44,0.67,CVM,Temperate,DBF,Cold
US-xDS,US-xNG,0.45,0.63,CVM,Temperate,GRA,Cold
US-xDS,US-xRM,-0.01,0.61,CVM,Temperate,ENF,Cold
US-xDS,US-xSB,0.43,0.74,CVM,Temperate,ENF,Temperate
US-xDS,US-xSC,-0.62,0.51,CVM,Temperate,DBF,Cold
US-xDS,US-xSE,-0.12,0.67,CVM,Temperate,DBF,Temperate
US-xDS,US-xSL,-0.26,0.57,CVM,Temperate,CRO,Arid
US-xDS,US-xST,0.1,0.76,CVM,Temperate,DBF,Cold
US-xDS,US-xTL,0.3,0.49,CVM,Temperate,WET,Cold
US-xDS,US-xTR,0.06,0.65,CVM,Temperate,DBF,Cold
US-xDS,US-xUK,-0.03,0.77,CVM,Temperate,DBF,Cold
US-xDS,US-xUN,0.14,0.76,CVM,Temperate,MF,Cold
US-xDS,US-xWD,0.33,0.62,CVM,Temperate,GRA,Cold
US-xDS,US-xWR,-0.76,0.56,CVM,Temperate,ENF,Cold
US-xHA,US-xBR,0.54,0.66,DBF,Cold,DBF,Cold
US-xHA,US-xDC,0.75,0.75,DBF,Cold,GRA,Cold
US-xHA,US-xDJ,0.64,0.65,DBF,Cold,ENF,Cold
US-xHA,US-xDL,0.45,0.7,DBF,Cold,MF,Temperate
US-xHA,US-xDS,-7.84,0.44,DBF,Cold,CVM,Temperate
US-xHA,US-xHA,0.84,0.84,DBF,Cold,DBF,Cold
US-xHA,US-xKZ,0.48,0.75,DBF,Cold,GRA,Cold
US-xHA,US-xML,0.51,0.53,DBF,Cold,DBF,Cold
US-xHA,US-xNG,0.53,0.69,DBF,Cold,GRA,Cold
US-xHA,US-xRM,0.65,0.68,DBF,Cold,ENF,Cold
US-xHA,US-xSB,-1.36,0.71,DBF,Cold,ENF,Temperate
US-xHA,US-xSC,0.55,0.68,DBF,Cold,DBF,Cold
US-xHA,US-xSE,0.64,0.7,DBF,Cold,DBF,Temperate
US-xHA,US-xSL,-8.56,0.67,DBF,Cold,CRO,Arid
US-xHA,US-xST,0.84,0.84,DBF,Cold,DBF,Cold
US-xHA,US-xTL,0.27,0.61,DBF,Cold,WET,Cold
US-xHA,US-xTR,0.72,0.73,DBF,Cold,DBF,Cold
US-xHA,US-xUK,0.81,0.81,DBF,Cold,DBF,Cold
US-xHA,US-xUN,0.77,0.79,DBF,Cold,MF,Cold
US-xHA,US-xWD,0.52,0.65,DBF,Cold,GRA,Cold
US-xHA,US-xWR,0.24,0.54,DBF,Cold,ENF,Cold
US-xKZ,US-xBR,-0.19,0.67,GRA,Cold,DBF,Cold
US-xKZ,US-xDC,0.46,0.71,GRA,Cold,GRA,Cold
US-xKZ,US-xDJ,0.13,0.35,GRA,Cold,ENF,Cold
US-xKZ,US-xDL,0.73,0.74,GRA,Cold,MF,Temperate
US-xKZ,US-xDS,-4.09,0.57,GRA,Cold,CVM,Temperate
US-xKZ,US-xHA,0.23,0.7,GRA,Cold,DBF,Cold
US-xKZ,US-xKZ,0.9,0.9,GRA,Cold,GRA,Cold
US-xKZ,US-xML,-0.08,0.56,GRA,Cold,DBF,Cold
US-xKZ,US-xNG,0.7,0.73,GRA,Cold,GRA,Cold
US-xKZ,US-xRM,-0.34,0.68,GRA,Cold,ENF,Cold
US-xKZ,US-xSB,0.07,0.53,GRA,Cold,ENF,Temperate
US-xKZ,US-xSC,0.33,0.65,GRA,Cold,DBF,Cold
US-xKZ,US-xSE,0.52,0.71,GRA,Cold,DBF,Temperate
US-xKZ,US-xSL,-4.7,0.71,GRA,Cold,CRO,Arid
US-xKZ,US-xST,0.36,0.83,GRA,Cold,DBF,Cold
US-xKZ,US-xTL,0.43,0.59,GRA,Cold,WET,Cold
US-xKZ,US-xTR,0.32,0.74,GRA,Cold,DBF,Cold
US-xKZ,US-xUK,0.44,0.82,GRA,Cold,DBF,Cold
US-xKZ,US-xUN,0.14,0.65,GRA,Cold,MF,Cold
US-xKZ,US-xWD,0.54,0.65,GRA,Cold,GRA,Cold
US-xKZ,US-xWR,-0.7,0.29,GRA,Cold,ENF,Cold
US-xML,US-xBR,0.5,0.54,DBF,Cold,DBF,Cold
US-xML,US-xDC,0.59,0.6,DBF,Cold,GRA,Cold
US-xML,US-xDJ,0.26,0.33,DBF,Cold,ENF,Cold
US-xML,US-xDL,0.03,0.12,DBF,Cold,MF,Temperate
US-xML,US-xDS,-2.55,0.0,DBF,Cold,CVM,Temperate
US-xML,US-xHA,0.29,0.63,DBF,Cold,DBF,Cold
US-xML,US-xKZ,0.28,0.3,DBF,Cold,GRA,Cold
US-xML,US-xML,0.87,0.87,DBF,Cold,DBF,Cold
US-xML,US-xNG,0.27,0.63,DBF,Cold,GRA,Cold
US-xML,US-xRM,0.5,0.54,DBF,Cold,ENF,Cold
US-xML,US-xSB,-1.43,0.13,DBF,Cold,ENF,Temperate
US-xML,US-xSC,0.22,0.51,DBF,Cold,DBF,Cold
US-xML,US-xSE,0.09,0.21,DBF,Cold,DBF,Temperate
US-xML,US-xSL,-3.21,0.32,DBF,Cold,CRO,Arid
US-xML,US-xST,0.59,0.66,DBF,Cold,DBF,Cold
US-xML,US-xTL,0.16,0.55,DBF,Cold,WET,Cold
US-xML,US-xTR,0.49,0.54,DBF,Cold,DBF,Cold
US-xML,US-xUK,0.45,0.48,DBF,Cold,DBF,Cold
US-xML,US-xUN,0.67,0.74,DBF,Cold,MF,Cold
US-xML,US-xWD,0.47,0.65,DBF,Cold,GRA,Cold
US-xML,US-xWR,0.35,0.54,DBF,Cold,ENF,Cold
US-xNG,US-xBR,0.3,0.66,GRA,Cold,DBF,Cold
US-xNG,US-xDC,0.74,0.82,GRA,Cold,GRA,Cold
US-xNG,US-xDJ,0.37,0.47,GRA,Cold,ENF,Cold
US-xNG,US-xDL,0.65,0.69,GRA,Cold,MF,Temperate
US-xNG,US-xDS,-3.64,0.35,GRA,Cold,CVM,Temperate
US-xNG,US-xHA,0.59,0.71,GRA,Cold,DBF,Cold
US-xNG,US-xKZ,0.79,0.81,GRA,Cold,GRA,Cold
US-xNG,US-xML,0.46,0.65,GRA,Cold,DBF,Cold
US-xNG,US-xNG,0.89,0.89,GRA,Cold,GRA,Cold
US-xNG,US-xRM,-0.04,0.64,GRA,Cold,ENF,Cold
US-xNG,US-xSB,-0.06,0.28,GRA,Cold,ENF,Temperate
US-xNG,US-xSC,0.56,0.65,GRA,Cold,DBF,Cold
US-xNG,US-xSE,0.65,0.69,GRA,Cold,DBF,Temperate
US-xNG,US-xSL,-3.24,0.67,GRA,Cold,CRO,Arid
US-xNG,US-xST,0.78,0.87,GRA,Cold,DBF,Cold
US-xNG,US-xTL,0.44,0.62,GRA,Cold,WET,Cold
US-xNG,US-xTR,0.61,0.76,GRA,Cold,DBF,Cold
US-xNG,US-xUK,0.57,0.77,GRA,Cold,DBF,Cold
US-xNG,US-xUN,0.48,0.62,GRA,Cold,MF,Cold
US-xNG,US-xWD,0.74,0.74,GRA,Cold,GRA,Cold
US-xNG,US-xWR,-0.23,0.26,GRA,Cold,ENF,Cold
US-xRM,US-xBR,0.48,0.58,ENF,Cold,DBF,Cold
US-xRM,US-xDC,0.59,0.65,ENF,Cold,GRA,Cold
US-xRM,US-xDJ,0.51,0.65,ENF,Cold,ENF,Cold
US-xRM,US-xDL,0.09,0.12,ENF,Cold,MF,Temperate
US-xRM,US-xDS,-1.03,0.0,ENF,Cold,CVM,Temperate
US-xRM,US-xHA,0.5,0.63,ENF,Cold,DBF,Cold
US-xRM,US-xKZ,0.38,0.43,ENF,Cold,GRA,Cold
US-xRM,US-xML,0.51,0.57,ENF,Cold,DBF,Cold
US-xRM,US-xNG,0.54,0.62,ENF,Cold,GRA,Cold
US-xRM,US-xRM,0.93,0.93,ENF,Cold,ENF,Cold
US-xRM,US-xSB,-0.01,0.08,ENF,Cold,ENF,Temperate
US-xRM,US-xSC,0.31,0.32,ENF,Cold,DBF,Cold
US-xRM,US-xSE,0.25,0.28,ENF,Cold,DBF,Temperate
US-xRM,US-xSL,-3.72,0.44,ENF,Cold,CRO,Arid
US-xRM,US-xST,0.67,0.76,ENF,Cold,DBF,Cold
US-xRM,US-xTL,0.59,0.61,ENF,Cold,WET,Cold
US-xRM,US-xTR,0.56,0.65,ENF,Cold,DBF,Cold
US-xRM,US-xUK,0.3,0.45,ENF,Cold,DBF,Cold
US-xRM,US-xUN,0.61,0.65,ENF,Cold,MF,Cold
US-xRM,US-xWD,0.58,0.62,ENF,Cold,GRA,Cold
US-xRM,US-xWR,0.27,0.55,ENF,Cold,ENF,Cold
US-xSB,US-xBR,0.16,0.66,ENF,Temperate,DBF,Cold
US-xSB,US-xDC,0.41,0.7,ENF,Temperate,GRA,Cold
US-xSB,US-xDJ,0.53,0.76,ENF,Temperate,ENF,Cold
US-xSB,US-xDL,0.48,0.79,ENF,Temperate,MF,Temperate
US-xSB,US-xDS,-0.05,0.63,ENF,Temperate,CVM,Temperate
US-xSB,US-xHA,0.3,0.77,ENF,Temperate,DBF,Cold
US-xSB,US-xKZ,0.65,0.74,ENF,Temperate,GRA,Cold
US-xSB,US-xML,-0.02,0.65,ENF,Temperate,DBF,Cold
US-xSB,US-xNG,0.57,0.6,ENF,Temperate,GRA,Cold
US-xSB,US-xRM,0.35,0.68,ENF,Temperate,ENF,Cold
US-xSB,US-xSB,0.89,0.89,ENF,Temperate,ENF,Temperate
US-xSB,US-xSC,0.09,0.63,ENF,Temperate,DBF,Cold
US-xSB,US-xSE,0.37,0.73,ENF,Temperate,DBF,Temperate
US-xSB,US-xSL,-1.87,0.6,ENF,Temperate,CRO,Arid
US-xSB,US-xST,0.46,0.82,ENF,Temperate,DBF,Cold
US-xSB,US-xTL,-0.12,0.55,ENF,Temperate,WET,Cold
US-xSB,US-xTR,0.35,0.72,ENF,Temperate,DBF,Cold
US-xSB,US-xUK,0.38,0.78,ENF,Temperate,DBF,Cold
US-xSB,US-xUN,0.46,0.81,ENF,Temperate,MF,Cold
US-xSB,US-xWD,0.54,0.63,ENF,Temperate,GRA,Cold
US-xSB,US-xWR,-0.38,0.59,ENF,Temperate,ENF,Cold
US-xSC,US-xBR,0.39,0.73,DBF,Cold,DBF,Cold
US-xSC,US-xDC,0.66,0.79,DBF,Cold,GRA,Cold
US-xSC,US-xDJ,0.41,0.44,DBF,Cold,ENF,Cold
US-xSC,US-xDL,0.53,0.55,DBF,Cold,MF,Temperate
US-xSC,US-xDS,-3.78,0.13,DBF,Cold,CVM,Temperate
US-xSC,US-xHA,0.67,0.76,DBF,Cold,DBF,Cold
US-xSC,US-xKZ,0.67,0.74,DBF,Cold,GRA,Cold
US-xSC,US-xML,0.45,0.54,DBF,Cold,DBF,Cold
US-xSC,US-xNG,0.71,0.75,DBF,Cold,GRA,Cold
US-xSC,US-xRM,0.51,0.65,DBF,Cold,ENF,Cold
US-xSC,US-xSB,0.37,0.43,DBF,Cold,ENF,Temperate
US-xSC,US-xSC,0.79,0.79,DBF,Cold,DBF,Cold
US-xSC,US-xSE,0.68,0.71,DBF,Cold,DBF,Temperate
US-xSC,US-xSL,-4.86,0.68,DBF,Cold,CRO,Arid
US-xSC,US-xST,0.77,0.86,DBF,Cold,DBF,Cold
US-xSC,US-xTL,0.34,0.57,DBF,Cold,WET,Cold
US-xSC,US-xTR,0.6,0.74,DBF,Cold,DBF,Cold
US-xSC,US-xUK,0.59,0.74,DBF,Cold,DBF,Cold
US-xSC,US-xUN,0.67,0.8,DBF,Cold,MF,Cold
US-xSC,US-xWD,0.64,0.65,DBF,Cold,GRA,Cold
US-xSC,US-xWR,-0.06,0.39,DBF,Cold,ENF,Cold
US-xSE,US-xBR,0.47,0.73,DBF,Temperate,DBF,Cold
US-xSE,US-xDC,0.71,0.74,DBF,Temperate,GRA,Cold
US-xSE,US-xDJ,0.49,0.51,DBF,Temperate,ENF,Cold
US-xSE,US-xDL,0.6,0.62,DBF,Temperate,MF,Temperate
US-xSE,US-xDS,-5.01,0.38,DBF,Temperate,CVM,Temperate
US-xSE,US-xHA,0.67,0.72,DBF,Temperate,DBF,Cold
US-xSE,US-xKZ,0.58,0.69,DBF,Temperate,GRA,Cold
US-xSE,US-xML,0.45,0.62,DBF,Temperate,DBF,Cold
US-xSE,US-xNG,0.61,0.68,DBF,Temperate,GRA,Cold
US-xSE,US-xRM,0.55,0.65,DBF,Temperate,ENF,Cold
US-xSE,US-xSB,-0.77,0.68,DBF,Temperate,ENF,Temperate
US-xSE,US-xSC,0.56,0.64,DBF,Temperate,DBF,Cold
US-xSE,US-xSE,0.86,0.86,DBF,Temperate,DBF,Temperate
US-xSE,US-xSL,-7.56,0.61,DBF,Temperate,CRO,Arid
US-xSE,US-xST,0.79,0.84,DBF,Temperate,DBF,Cold
US-xSE,US-xTL,0.07,0.53,DBF,Temperate,WET,Cold
US-xSE,US-xTR,0.64,0.71,DBF,Temperate,DBF,Cold
US-xSE,US-xUK,0.77,0.79,DBF,Temperate,DBF,Cold
US-xSE,US-xUN,0.7,0.79,DBF,Temperate,MF,Cold
US-xSE,US-xWD,0.6,0.63,DBF,Temperate,GRA,Cold
US-xSE,US-xWR,0.04,0.47,DBF,Temperate,ENF,Cold
US-xSL,US-xBR,-0.6,0.59,CRO,Arid,DBF,Cold
US-xSL,US-xDC,-0.0,0.78,CRO,Arid,GRA,Cold
US-xSL,US-xDJ,-0.13,0.69,CRO,Arid,ENF,Cold
US-xSL,US-xDL,-0.64,0.64,CRO,Arid,MF,Temperate
US-xSL,US-xDS,-0.24,0.34,CRO,Arid,CVM,Temperate
US-xSL,US-xHA,-0.26,0.72,CRO,Arid,DBF,Cold
US-xSL,US-xKZ,0.18,0.81,CRO,Arid,GRA,Cold
US-xSL,US-xML,-0.93,0.53,CRO,Arid,DBF,Cold
US-xSL,US-xNG,0.14,0.75,CRO,Arid,GRA,Cold
US-xSL,US-xRM,-0.99,0.47,CRO,Arid,ENF,Cold
US-xSL,US-xSB,-1.53,0.43,CRO,Arid,ENF,Temperate
US-xSL,US-xSC,-0.93,0.63,CRO,Arid,DBF,Cold
US-xSL,US-xSE,-0.37,0.68,CRO,Arid,DBF,Temperate
US-xSL,US-xSL,0.84,0.84,CRO,Arid,CRO,Arid
US-xSL,US-xST,-0.1,0.82,CRO,Arid,DBF,Cold
US-xSL,US-xTL,0.22,0.61,CRO,Arid,WET,Cold
US-xSL,US-xTR,-0.06,0.71,CRO,Arid,DBF,Cold
US-xSL,US-xUK,-0.43,0.79,CRO,Arid,DBF,Cold
US-xSL,US-xUN,-0.36,0.67,CRO,Arid,MF,Cold
US-xSL,US-xWD,-0.02,0.64,CRO,Arid,GRA,Cold
US-xSL,US-xWR,-1.37,0.39,CRO,Arid,ENF,Cold
US-xST,US-xBR,0.67,0.77,DBF,Cold,DBF,Cold
US-xST,US-xDC,0.78,0.8,DBF,Cold,GRA,Cold
US-xST,US-xDJ,0.46,0.48,DBF,Cold,ENF,Cold
US-xST,US-xDL,0.49,0.66,DBF,Cold,MF,Temperate
US-xST,US-xDS,-3.77,0.25,DBF,Cold,CVM,Temperate
US-xST,US-xHA,0.77,0.78,DBF,Cold,DBF,Cold
US-xST,US-xKZ,0.63,0.72,DBF,Cold,GRA,Cold
US-xST,US-xML,0.63,0.63,DBF,Cold,DBF,Cold
US-xST,US-xNG,0.67,0.77,DBF,Cold,GRA,Cold
US-xST,US-xRM,0.66,0.71,DBF,Cold,ENF,Cold
US-xST,US-xSB,0.09,0.52,DBF,Cold,ENF,Temperate
US-xST,US-xSC,0.65,0.67,DBF,Cold,DBF,Cold
US-xST,US-xSE,0.63,0.65,DBF,Cold,DBF,Temperate
US-xST,US-xSL,-5.97,0.65,DBF,Cold,CRO,Arid
US-xST,US-xST,0.94,0.94,DBF,Cold,DBF,Cold
US-xST,US-xTL,-0.1,0.62,DBF,Cold,WET,Cold
US-xST,US-xTR,0.76,0.78,DBF,Cold,DBF,Cold
US-xST,US-xUK,0.7,0.78,DBF,Cold,DBF,Cold
US-xST,US-xUN,0.79,0.8,DBF,Cold,MF,Cold
US-xST,US-xWD,0.63,0.72,DBF,Cold,GRA,Cold
US-xST,US-xWR,0.27,0.51,DBF,Cold,ENF,Cold
US-xTL,US-xBR,-0.09,0.71,WET,Cold,DBF,Cold
US-xTL,US-xDC,0.21,0.73,WET,Cold,GRA,Cold
US-xTL,US-xDJ,0.47,0.72,WET,Cold,ENF,Cold
US-xTL,US-xDL,-0.61,0.58,WET,Cold,MF,Temperate
US-xTL,US-xDS,-0.33,0.29,WET,Cold,CVM,Temperate
US-xTL,US-xHA,-0.04,0.73,WET,Cold,DBF,Cold
US-xTL,US-xKZ,0.14,0.58,WET,Cold,GRA,Cold
US-xTL,US-xML,-0.25,0.66,WET,Cold,DBF,Cold
US-xTL,US-xNG,0.45,0.69,WET,Cold,GRA,Cold
US-xTL,US-xRM,0.12,0.82,WET,Cold,ENF,Cold
US-xTL,US-xSB,-0.8,0.36,WET,Cold,ENF,Temperate
US-xTL,US-xSC,-0.67,0.59,WET,Cold,DBF,Cold
US-xTL,US-xSE,-0.28,0.58,WET,Cold,DBF,Temperate
US-xTL,US-xSL,0.28,0.54,WET,Cold,CRO,Arid
US-xTL,US-xST,0.2,0.82,WET,Cold,DBF,Cold
US-xTL,US-xTL,0.78,0.78,WET,Cold,WET,Cold
US-xTL,US-xTR,0.13,0.7,WET,Cold,DBF,Cold
US-xTL,US-xUK,-0.22,0.71,WET,Cold,DBF,Cold
US-xTL,US-xUN,0.24,0.81,WET,Cold,MF,Cold
US-xTL,US-xWD,0.37,0.69,WET,Cold,GRA,Cold
US-xTL,US-xWR,-0.68,0.62,WET,Cold,ENF,Cold
US-xTR,US-xBR,0.67,0.73,DBF,Cold,DBF,Cold
US-xTR,US-xDC,0.8,0.81,DBF,Cold,GRA,Cold
US-xTR,US-xDJ,0.28,0.38,DBF,Cold,ENF,Cold
US-xTR,US-xDL,0.25,0.52,DBF,Cold,MF,Temperate
US-xTR,US-xDS,-7.26,0.2,DBF,Cold,CVM,Temperate
US-xTR,US-xHA,0.73,0.74,DBF,Cold,DBF,Cold
US-xTR,US-xKZ,0.46,0.68,DBF,Cold,GRA,Cold
US-xTR,US-xML,0.7,0.72,DBF,Cold,DBF,Cold
US-xTR,US-xNG,0.45,0.76,DBF,Cold,GRA,Cold
US-xTR,US-xRM,0.56,0.67,DBF,Cold,ENF,Cold
US-xTR,US-xSB,-1.08,0.52,DBF,Cold,ENF,Temperate
US-xTR,US-xSC,0.48,0.61,DBF,Cold,DBF,Cold
US-xTR,US-xSE,0.58,0.68,DBF,Cold,DBF,Temperate
US-xTR,US-xSL,-9.75,0.65,DBF,Cold,CRO,Arid
US-xTR,US-xST,0.88,0.9,DBF,Cold,DBF,Cold
US-xTR,US-xTL,0.13,0.59,DBF,Cold,WET,Cold
US-xTR,US-xTR,0.84,0.84,DBF,Cold,DBF,Cold
US-xTR,US-xUK,0.76,0.77,DBF,Cold,DBF,Cold
US-xTR,US-xUN,0.72,0.78,DBF,Cold,MF,Cold
US-xTR,US-xWD,0.44,0.72,DBF,Cold,GRA,Cold
US-xTR,US-xWR,0.35,0.49,DBF,Cold,ENF,Cold
US-xUK,US-xBR,0.54,0.68,DBF,Cold,DBF,Cold
US-xUK,US-xDC,0.76,0.77,DBF,Cold,GRA,Cold
US-xUK,US-xDJ,0.49,0.49,DBF,Cold,ENF,Cold
US-xUK,US-xDL,0.31,0.8,DBF,Cold,MF,Temperate
US-xUK,US-xDS,-12.04,0.54,DBF,Cold,CVM,Temperate
US-xUK,US-xHA,0.73,0.74,DBF,Cold,DBF,Cold
US-xUK,US-xKZ,0.39,0.83,DBF,Cold,GRA,Cold
US-xUK,US-xML,0.65,0.68,DBF,Cold,DBF,Cold
US-xUK,US-xNG,0.27,0.74,DBF,Cold,GRA,Cold
US-xUK,US-xRM,0.48,0.68,DBF,Cold,ENF,Cold
US-xUK,US-xSB,-2.8,0.69,DBF,Cold,ENF,Temperate
US-xUK,US-xSC,0.44,0.66,DBF,Cold,DBF,Cold
US-xUK,US-xSE,0.65,0.74,DBF,Cold,DBF,Temperate
US-xUK,US-xSL,-12.94,0.69,DBF,Cold,CRO,Arid
US-xUK,US-xST,0.86,0.87,DBF,Cold,DBF,Cold
US-xUK,US-xTL,0.55,0.56,DBF,Cold,WET,Cold
US-xUK,US-xTR,0.76,0.77,DBF,Cold,DBF,Cold
US-xUK,US-xUK,0.93,0.93,DBF,Cold,DBF,Cold
US-xUK,US-xUN,0.74,0.74,DBF,Cold,MF,Cold
US-xUK,US-xWD,0.35,0.69,DBF,Cold,GRA,Cold
US-xUK,US-xWR,0.18,0.43,DBF,Cold,ENF,Cold
US-xUN,US-xBR,0.67,0.76,MF,Cold,DBF,Cold
US-xUN,US-xDC,0.78,0.79,MF,Cold,GRA,Cold
US-xUN,US-xDJ,0.72,0.74,MF,Cold,ENF,Cold
