training_site,US-xAB,US-xAE,US-xBL,US-xBN,US-xBR,US-xCL,US-xCP,US-xDC,US-xDJ,US-xDL,US-xDS,US-xGR,US-xHA,US-xHE,US-xJE,US-xJR,US-xKA,US-xKZ,US-xMB,US-xML,US-xNG,US-xNQ,US-xNW,US-xRM,US-xRN,US-xSB,US-xSC,US-xSE,US-xSJ,US-xSL,US-xSR,US-xST,US-xTA,US-xTL,US-xTR,US-xUK,US-xUN,US-xWD,US-xWR,US-xYE
US-xDS,0.35,0.41,0.61,0.22,0.46,0.27,0.23,0.47,0.34,0.77,0.83,0.59,0.15,0.25,0.71,0.0,0.53,0.73,0.25,0.48,0.55,0.13,0.39,0.52,0.4,0.67,0.53,0.59,0.04,0.48,0.23,0.51,0.57,0.3,0.45,0.73,0.67,0.46,0.43,0.34
US-xGR,0.34,0.17,0.49,0.25,0.38,0.18,0.05,0.36,0.08,0.6,0.14,0.81,0.02,0.43,0.29,0.0,0.52,0.37,0.12,0.57,0.34,0.01,0.15,0.08,0.28,0.21,0.52,0.63,0.16,0.46,0.03,0.67,0.33,0.53,0.48,0.5,0.64,0.43,0.48,0.07
US-xHA,0.22,0.11,0.18,0.04,0.1,0.06,0.03,0.12,0.05,0.16,0.12,0.11,0.03,0.02,0.07,0.0,0.11,0.1,0.07,0.06,0.08,0.04,0.02,0.06,0.07,0.14,0.07,0.06,0.01,0.12,0.04,0.1,0.13,0.09,0.11,0.14,0.11,0.08,0.21,0.06
US-xHE,0.08,0.08,0.16,0.27,0.35,0.09,0.17,0.42,0.22,0.08,0.02,0.32,0.27,0.85,0.26,0.02,0.28,0.27,0.05,0.47,0.4,0.11,0.46,0.24,0.29,0.24,0.06,0.24,0.09,0.17,0.19,0.52,0.14,0.37,0.39,0.26,0.66,0.25,0.33,0.18
US-xJE,0.51,0.5,0.65,0.35,0.63,0.3,0.28,0.63,0.72,0.7,0.54,0.63,0.04,0.4,0.84,0.0,0.65,0.79,0.26,0.64,0.61,0.17,0.6,0.58,0.4,0.71,0.52,0.55,0.11,0.53,0.23,0.78,0.51,0.59,0.66,0.75,0.78,0.62,0.62,0.54
US-xJR,0.0,0.37,0.07,0.12,0.03,0.21,0.33,0.21,0.02,0.0,0.1,0.29,0.07,0.2,0.13,0.76,0.25,0.27,0.24,0.03,0.4,0.25,0.07,0.03,0.23,0.33,0.0,0.2,0.05,0.4,0.45,0.27,0.2,0.1,0.08,0.15,0.17,0.04,0.08,0.06
US-xKA,0.46,0.6,0.57,0.36,0.48,0.32,0.23,0.46,0.38,0.6,0.26,0.69,0.02,0.41,0.52,0.01,0.84,0.63,0.14,0.68,0.42,0.05,0.38,0.26,0.21,0.49,0.6,0.5,0.09,0.61,0.18,0.7,0.38,0.43,0.5,0.61,0.74,0.47,0.4,0.26
US-xKZ,0.56,0.46,0.65,0.31,0.63,0.31,0.31,0.65,0.64,0.79,0.56,0.63,0.04,0.17,0.67,0.0,0.64,0.92,0.27,0.63,0.62,0.11,0.39,0.51,0.38,0.57,0.64,0.43,0.06,0.68,0.21,0.71,0.59,0.06,0.58,0.8,0.8,0.59,0.51,0.45
US-xMB,0.28,0.18,0.34,0.08,0.49,0.04,0.18,0.37,0.35,0.14,0.09,0.24,0.09,0.01,0.12,0.01,0.4,0.41,0.7,0.57,0.44,0.35,0.26,0.32,0.2,0.3,0.02,0.18,0.26,0.31,0.4,0.51,0.16,0.18,0.42,0.44,0.65,0.33,0.19,0.26
US-xML,0.51,0.04,0.37,0.2,0.51,0.06,0.07,0.52,0.48,0.29,0.0,0.37,0.27,0.31,0.25,0.0,0.35,0.43,0.16,0.9,0.64,0.03,0.21,0.26,0.44,0.27,0.23,0.14,0.15,0.38,0.11,0.7,0.36,0.03,0.4,0.48,0.8,0.54,0.54,0.19
US-xNG,0.47,0.49,0.61,0.31,0.68,0.41,0.45,0.77,0.74,0.66,0.19,0.4,0.05,0.26,0.4,0.0,0.44,0.68,0.2,0.72,0.88,0.44,0.36,0.7,0.29,0.22,0.4,0.36,0.15,0.3,0.15,0.89,0.45,0.24,0.67,0.77,0.76,0.6,0.44,0.68
US-xNQ,0.3,0.6,0.64,0.06,0.55,0.56,0.54,0.81,0.22,0.67,0.48,0.65,0.29,0.0,0.54,0.0,0.61,0.71,0.46,0.64,0.74,0.74,0.1,0.28,0.31,0.5,0.61,0.64,0.1,0.68,0.54,0.88,0.49,0.16,0.65,0.79,0.6,0.61,0.08,0.55
US-xNW,0.36,0.3,0.47,0.56,0.56,0.31,0.23,0.57,0.58,0.58,0.22,0.57,0.28,0.63,0.33,0.07,0.55,0.44,0.17,0.64,0.51,0.16,0.95,0.51,0.33,0.29,0.36,0.52,0.01,0.44,0.26,0.74,0.35,0.59,0.51,0.56,0.83,0.49,0.5,0.39
US-xRM,0.39,0.35,0.32,0.04,0.6,0.23,0.43,0.7,0.71,0.01,0.03,0.08,0.04,0.01,0.02,0.0,0.22,0.2,0.08,0.46,0.57,0.34,0.21,0.93,0.01,0.01,0.18,0.24,0.29,0.21,0.02,0.77,0.03,0.4,0.51,0.37,0.61,0.45,0.14,0.55
