training_site,target_site,r2_sklearn,r2_pearson,training_IGBP,training_koppen,target_IGBP,target_koppen
US-xKZ,US-xHA,-27.48,0.12,GRA,Cold,DBF,Cold
US-xKZ,US-xHE,-0.3,0.29,GRA,Cold,OSH,Cold
US-xKZ,US-xJE,0.57,0.65,GRA,Cold,ENF,Temperate
US-xKZ,US-xJR,-626.12,0.0,GRA,Cold,OSH,Arid
US-xKZ,US-xKA,-0.18,0.63,GRA,Cold,GRA,Cold
US-xKZ,US-xKZ,0.94,0.94,GRA,Cold,GRA,Cold
US-xKZ,US-xMB,-106.22,0.31,GRA,Cold,OSH,Arid
US-xKZ,US-xML,-0.37,0.65,GRA,Cold,DBF,Cold
US-xKZ,US-xNG,0.49,0.59,GRA,Cold,GRA,Cold
US-xKZ,US-xNQ,-25.67,0.15,GRA,Cold,OSH,Arid
US-xKZ,US-xNW,-0.33,0.49,GRA,Cold,ENF,Cold
US-xKZ,US-xRM,-1.04,0.49,GRA,Cold,ENF,Cold
US-xKZ,US-xRN,-0.26,0.36,GRA,Cold,DBF,Temperate
US-xKZ,US-xSB,-0.54,0.44,GRA,Cold,ENF,Temperate
US-xKZ,US-xSC,0.39,0.64,GRA,Cold,DBF,Cold
US-xKZ,US-xSE,0.31,0.53,GRA,Cold,DBF,Temperate
US-xKZ,US-xSJ,-0.48,0.02,GRA,Cold,SAV,Temperate
US-xKZ,US-xSL,-12.56,0.63,GRA,Cold,CRO,Arid
US-xKZ,US-xSR,-12.58,0.33,GRA,Cold,OSH,Arid
US-xKZ,US-xST,0.31,0.82,GRA,Cold,DBF,Cold
US-xKZ,US-xTA,0.32,0.58,GRA,Cold,ENF,Temperate
US-xKZ,US-xTL,-1.82,0.53,GRA,Cold,WET,Cold
US-xKZ,US-xTR,-0.08,0.64,GRA,Cold,DBF,Cold
US-xKZ,US-xUK,0.6,0.82,GRA,Cold,DBF,Cold
US-xKZ,US-xUN,0.06,0.85,GRA,Cold,MF,Cold
US-xKZ,US-xWD,0.41,0.57,GRA,Cold,GRA,Cold
US-xKZ,US-xWR,-1.15,0.5,GRA,Cold,ENF,Cold
US-xKZ,US-xYE,-0.61,0.45,GRA,Cold,ENF,Cold
US-xMB,US-xAB,-2.45,0.44,OSH,Arid,ENF,Temperate
US-xMB,US-xAE,-0.31,0.12,OSH,Arid,GRA,Temperate
US-xMB,US-xBL,-2.57,0.41,OSH,Arid,DBF,Cold
US-xMB,US-xBN,-1.79,0.21,OSH,Arid,ENF,Cold
US-xMB,US-xBR,-0.94,0.49,OSH,Arid,DBF,Cold
US-xMB,US-xCL,-2.28,0.05,OSH,Arid,GRA,Temperate
US-xMB,US-xCP,0.02,0.17,OSH,Arid,GRA,Arid
US-xMB,US-xDC,-0.85,0.34,OSH,Arid,GRA,Cold
US-xMB,US-xDJ,-2.37,0.51,OSH,Arid,ENF,Cold
US-xMB,US-xDL,-1.82,0.36,OSH,Arid,MF,Temperate
US-xMB,US-xDS,-3.9,0.07,OSH,Arid,CVM,Temperate
US-xMB,US-xGR,-1.76,0.3,OSH,Arid,DBF,Temperate
US-xMB,US-xHA,-45.91,0.02,OSH,Arid,DBF,Cold
US-xMB,US-xHE,-1.64,0.35,OSH,Arid,OSH,Cold
US-xMB,US-xJE,-3.02,0.24,OSH,Arid,ENF,Temperate
US-xMB,US-xJR,-42.31,0.0,OSH,Arid,OSH,Arid
US-xMB,US-xKA,-0.7,0.31,OSH,Arid,GRA,Cold
US-xMB,US-xKZ,-0.85,0.35,OSH,Arid,GRA,Cold
US-xMB,US-xMB,0.72,0.72,OSH,Arid,OSH,Arid
US-xMB,US-xML,-1.37,0.55,OSH,Arid,DBF,Cold
US-xMB,US-xNG,-0.91,0.44,OSH,Arid,GRA,Cold
US-xMB,US-xNQ,-0.01,0.08,OSH,Arid,OSH,Arid
US-xMB,US-xNW,-2.79,0.16,OSH,Arid,ENF,Cold
US-xMB,US-xRM,-2.22,0.46,OSH,Arid,ENF,Cold
US-xMB,US-xRN,-1.48,0.3,OSH,Arid,DBF,Temperate
US-xMB,US-xSB,-4.64,0.21,OSH,Arid,ENF,Temperate
US-xMB,US-xSC,-2.53,0.33,OSH,Arid,DBF,Cold
US-xMB,US-xSE,-2.57,0.25,OSH,Arid,DBF,Temperate
US-xMB,US-xSJ,-1.18,0.04,OSH,Arid,SAV,Temperate
US-xMB,US-xSL,-0.02,0.38,OSH,Arid,CRO,Arid
US-xMB,US-xSR,0.2,0.21,OSH,Arid,OSH,Arid
US-xMB,US-xST,-0.59,0.7,OSH,Arid,DBF,Cold
US-xMB,US-xTA,-2.28,0.13,OSH,Arid,ENF,Temperate
US-xMB,US-xTL,-5.16,0.0,OSH,Arid,WET,Cold
US-xMB,US-xTR,-0.97,0.39,OSH,Arid,DBF,Cold
US-xMB,US-xUK,-1.26,0.45,OSH,Arid,DBF,Cold
US-xMB,US-xUN,-0.67,0.65,OSH,Arid,MF,Cold
US-xMB,US-xWD,-1.24,0.45,OSH,Arid,GRA,Cold
US-xMB,US-xWR,-2.06,0.29,OSH,Arid,ENF,Cold
US-xMB,US-xYE,-1.7,0.28,OSH,Arid,ENF,Cold
US-xML,US-xAB,0.17,0.5,DBF,Cold,ENF,Temperate
US-xML,US-xAE,-8.84,0.2,DBF,Cold,GRA,Temperate
US-xML,US-xBL,0.34,0.45,DBF,Cold,DBF,Cold
US-xML,US-xBN,0.13,0.31,DBF,Cold,ENF,Cold
US-xML,US-xBR,0.58,0.61,DBF,Cold,DBF,Cold
US-xML,US-xCL,-2.11,0.15,DBF,Cold,GRA,Temperate
US-xML,US-xCP,-18.1,0.21,DBF,Cold,GRA,Arid
US-xML,US-xDC,0.62,0.66,DBF,Cold,GRA,Cold
US-xML,US-xDJ,0.28,0.48,DBF,Cold,ENF,Cold
US-xML,US-xDL,-0.21,0.29,DBF,Cold,MF,Temperate
US-xML,US-xDS,-6.31,0.0,DBF,Cold,CVM,Temperate
US-xML,US-xGR,0.15,0.42,DBF,Cold,DBF,Temperate
US-xML,US-xHA,-6.52,0.02,DBF,Cold,DBF,Cold
US-xML,US-xHE,-4.26,0.32,DBF,Cold,OSH,Cold
US-xML,US-xJE,0.14,0.31,DBF,Cold,ENF,Temperate
US-xML,US-xJR,-4151.87,0.0,DBF,Cold,OSH,Arid
US-xML,US-xKA,-0.81,0.41,DBF,Cold,GRA,Cold
US-xML,US-xKZ,0.2,0.53,DBF,Cold,GRA,Cold
US-xML,US-xMB,-239.23,0.23,DBF,Cold,OSH,Arid
US-xML,US-xML,0.94,0.94,DBF,Cold,DBF,Cold
US-xML,US-xNG,-0.33,0.67,DBF,Cold,GRA,Cold
