training_site,target_site,r2_sklearn,r2_pearson,training_IGBP,training_koppen,target_IGBP,target_koppen
US-xBN,US-xDJ,-0.95,0.14,ENF,Cold,ENF,Cold
US-xBN,US-xDL,-0.36,0.35,ENF,Cold,MF,Temperate
US-xBN,US-xDS,-2.58,0.05,ENF,Cold,CVM,Temperate
US-xBN,US-xGR,-1.81,0.02,ENF,Cold,DBF,Temperate
US-xBN,US-xHA,-43.54,0.03,ENF,Cold,DBF,Cold
US-xBN,US-xHE,-0.02,0.43,ENF,Cold,OSH,Cold
US-xBN,US-xJE,-0.75,0.14,ENF,Cold,ENF,Temperate
US-xBN,US-xJR,-919.07,0.02,ENF,Cold,OSH,Arid
US-xBN,US-xKA,-0.39,0.16,ENF,Cold,GRA,Cold
US-xBN,US-xKZ,-0.24,0.15,ENF,Cold,GRA,Cold
US-xBN,US-xMB,-47.77,0.18,ENF,Cold,OSH,Arid
US-xBN,US-xML,-0.49,0.36,ENF,Cold,DBF,Cold
US-xBN,US-xNG,0.02,0.24,ENF,Cold,GRA,Cold
US-xBN,US-xNQ,-24.35,0.01,ENF,Cold,OSH,Arid
US-xBN,US-xNW,-0.11,0.66,ENF,Cold,ENF,Cold
US-xBN,US-xRM,-1.12,0.05,ENF,Cold,ENF,Cold
US-xBN,US-xRN,0.13,0.29,ENF,Cold,DBF,Temperate
US-xBN,US-xSB,-0.97,0.12,ENF,Cold,ENF,Temperate
US-xBN,US-xSC,-2.92,0.05,ENF,Cold,DBF,Cold
US-xBN,US-xSE,-2.34,0.04,ENF,Cold,DBF,Temperate
US-xBN,US-xSJ,-0.78,0.03,ENF,Cold,SAV,Temperate
US-xBN,US-xSL,-1.0,0.0,ENF,Cold,CRO,Arid
US-xBN,US-xSR,-11.36,0.28,ENF,Cold,OSH,Arid
US-xBN,US-xST,-0.44,0.18,ENF,Cold,DBF,Cold
US-xBN,US-xTA,-0.63,0.16,ENF,Cold,ENF,Temperate
US-xBN,US-xTL,-14.98,0.48,ENF,Cold,WET,Cold
US-xBN,US-xTR,-0.5,0.14,ENF,Cold,DBF,Cold
US-xBN,US-xUK,-0.57,0.18,ENF,Cold,DBF,Cold
US-xBN,US-xUN,0.51,0.61,ENF,Cold,MF,Cold
US-xBN,US-xWD,-0.51,0.2,ENF,Cold,GRA,Cold
US-xBN,US-xWR,0.03,0.44,ENF,Cold,ENF,Cold
US-xBN,US-xYE,-1.21,0.02,ENF,Cold,ENF,Cold
US-xBR,US-xAB,0.49,0.58,DBF,Cold,ENF,Temperate
US-xBR,US-xAE,-45.46,0.5,DBF,Cold,GRA,Temperate
US-xBR,US-xBL,-0.95,0.66,DBF,Cold,DBF,Cold
US-xBR,US-xBN,0.05,0.42,DBF,Cold,ENF,Cold
US-xBR,US-xBR,0.82,0.82,DBF,Cold,DBF,Cold
US-xBR,US-xCL,-11.65,0.37,DBF,Cold,GRA,Temperate
US-xBR,US-xCP,-48.69,0.26,DBF,Cold,GRA,Arid
US-xBR,US-xDC,0.58,0.74,DBF,Cold,GRA,Cold
US-xBR,US-xDJ,0.66,0.74,DBF,Cold,ENF,Cold
US-xBR,US-xDL,-1.03,0.65,DBF,Cold,MF,Temperate
US-xBR,US-xDS,-53.83,0.24,DBF,Cold,CVM,Temperate
US-xBR,US-xGR,0.36,0.67,DBF,Cold,DBF,Temperate
US-xBR,US-xHA,-5.25,0.09,DBF,Cold,DBF,Cold
US-xBR,US-xHE,-13.37,0.42,DBF,Cold,OSH,Cold
US-xBR,US-xJE,-3.42,0.54,DBF,Cold,ENF,Temperate
US-xBR,US-xJR,-12140.14,0.0,DBF,Cold,OSH,Arid
US-xBR,US-xKA,-10.86,0.66,DBF,Cold,GRA,Cold
US-xBR,US-xKZ,-1.96,0.71,DBF,Cold,GRA,Cold
US-xBR,US-xMB,-692.19,0.18,DBF,Cold,OSH,Arid
US-xBR,US-xML,0.45,0.6,DBF,Cold,DBF,Cold
US-xBR,US-xNG,-1.43,0.58,DBF,Cold,GRA,Cold
US-xBR,US-xNQ,-296.6,0.09,DBF,Cold,OSH,Arid
US-xBR,US-xNW,-4.82,0.51,DBF,Cold,ENF,Cold
US-xBR,US-xRM,0.55,0.73,DBF,Cold,ENF,Cold
US-xBR,US-xRN,0.23,0.42,DBF,Cold,DBF,Temperate
US-xBR,US-xSB,-18.18,0.68,DBF,Cold,ENF,Temperate
US-xBR,US-xSC,-2.78,0.61,DBF,Cold,DBF,Cold
US-xBR,US-xSE,-2.91,0.51,DBF,Cold,DBF,Temperate
